imgfile,saw,said_no,said_maybe,said_yes
A/inside/sun_akmrxobzlzsiuhog.png,FALSE,19,10,34
A/inside/sun_bsmswguoyiamatyu.png,FALSE,21,17,34
B/inside/sun_aaaezlmwnuubqwpb.png,FALSE,18,2,34
A/inside/sun_ahixsbikiamkdlxa.png,FALSE,21,9,33
A/inside/sun_ahvaoneopufydell.png,FALSE,24,12,33
A/inside/sun_artoiedgagfbgesn.png,FALSE,29,16,33
A/inside/sun_driyvaqmmhjdxhuk.png,FALSE,23,13,33
A/inside/sun_acfqbzkjnydmqtyi.png,FALSE,20,13,32
A/inside/sun_akihpnhiblchzhgq.png,FALSE,29,9,32
A/inside/sun_bdalroxvuvnihofa.png,FALSE,22,12,32
B/inside/sun_aaylakcooequagux.png,FALSE,22,11,32
A/inside/sun_ahsovvjhbcyntaak.png,FALSE,17,12,31
A/inside/sun_aqqqvkeocxjjbmvb.png,FALSE,16,11,31
B/inside/sun_aaoyqijdfqbzwraw.png,FALSE,25,7,31
B/inside/sun_abbahynvuqekslgb.png,FALSE,29,3,31
B/inside/sun_abrnurmopsgqkxvn.png,FALSE,16,4,31
A/inside/sun_aawinctpjwdokiof.png,FALSE,21,11,30
A/inside/sun_anikjvdrxrywuyvr.png,FALSE,21,8,30
A/inside/sun_dzuamfdvfbbjouau.png,FALSE,26,16,30
B/inside/sun_aaruuebeoybyaqmu.png,FALSE,24,5,30
B/inside/sun_aatezwwkfesvyuij.png,FALSE,21,4,30
A/inside/sun_abhfieooonebxjrg.png,FALSE,27,9,29
A/inside/sun_ahnymjevjmixbypi.png,FALSE,18,11,29
A/inside/sun_audojkeusubmhhcn.png,FALSE,20,17,29
A/outside_man/sun_amfbqueyljxzfmur.png,FALSE,22,4,29
A/outside_man/sun_aputwudvfhsgcsgg.png,FALSE,28,10,29
B/inside/sun_abmbwwayihjktmqb.png,FALSE,16,5,29
A/inside/sun_abmkzxvudrcajnle.png,FALSE,26,12,28
A/inside/sun_blkzrscmyrliztij.png,FALSE,16,14,28
B/inside/sun_0ktvuinccdrmemdb.png,FALSE,18,7,28
B/inside/sun_aajuhnhxgwkyyrwb.png,FALSE,28,5,28
B/inside/sun_aanvbkentoawqquo.png,FALSE,16,6,28
B/inside/sun_aawjsoxboluadxgw.png,FALSE,14,11,28
B/inside/sun_aawpvmrpwqvdtgzt.png,FALSE,23,9,28
B/inside/sun_abrfwthdzagzztaq.png,FALSE,17,6,28
B/inside/sun_abzjxlmkwnwzimua.png,FALSE,20,7,28
B/outside_man/sun_aaxbnfjjlyocwwwo.png,FALSE,24,6,28
A/inside/sun_adkonpxsblmtdukc.png,FALSE,16,6,27
A/outside_man/sun_aqvlqqorjorxjwnh.png,FALSE,19,7,27
A/outside_man/sun_bjeuogjtlonvfbet.png,FALSE,22,10,27
A/outside_nat/sun_amorhjceepsevpie.png,FALSE,8,4,27
B/inside/sun_aanbmbnyyowsobsg.png,FALSE,13,7,27
B/inside/sun_aanzabthnsqaomio.png,FALSE,23,4,27
B/inside/sun_aaydtryfnfbvlvli.png,FALSE,24,7,27
B/inside/sun_abqowuarvqqcnipn.png,FALSE,22,7,27
A/inside/sun_akrccmohqijaceco.png,FALSE,16,13,26
A/inside/sun_aqjtevapheavsuzi.png,FALSE,24,14,26
A/inside/sun_auywjwqsitnzurig.png,FALSE,23,7,26
A/inside/sun_axoigjlwlboezeqx.png,FALSE,19,11,26
A/inside/sun_bxzowyjwupekdsyz.png,FALSE,21,11,26
A/inside/sun_ciuexjuasoqmnysa.png,FALSE,24,15,26
A/outside_man/sun_aaafvavryivlwifa.png,FALSE,13,4,26
A/outside_man/sun_advvqhvtshxmmuea.png,FALSE,17,14,26
A/outside_man/sun_bwlcxhprfyrowoam.png,FALSE,21,3,26
A/outside_nat/sun_ajpdesmpmbcnhujq.png,FALSE,12,8,26
A/outside_nat/sun_aofakjvzflfwxapl.png,FALSE,15,9,26
A/outside_nat/sun_bymmpcljitwmrebr.png,FALSE,13,8,26
B/inside/sun_aaczmpbmprzjcofd.png,FALSE,22,8,26
B/inside/sun_aamrqohnymdzzcsm.png,FALSE,17,7,26
B/inside/sun_aawzwijpmowksmpn.png,FALSE,18,5,26
B/inside/sun_abakyssezpogcttw.png,FALSE,13,7,26
B/inside/sun_abzoglkibwvlanfr.png,FALSE,20,9,26
B/outside_nat/sun_aaaxbrksvmdyrhpe.png,FALSE,22,6,26
A/inside/sun_abpqxslcljhrwmck.png,FALSE,18,13,25
A/inside/sun_agxipqjrftuwlwpl.png,FALSE,22,9,25
A/inside/sun_asizwxdltgasvzue.png,FALSE,11,11,25
A/inside/sun_axxkwcascwurkymu.png,FALSE,21,13,25
A/outside_man/sun_abcpbpidmlveztau.png,FALSE,22,9,25
A/outside_nat/sun_adeqcskxygdmtcul.png,FALSE,10,6,25
A/outside_nat/sun_bgqsphccbnklxlqu.png,FALSE,6,7,25
A/outside_nat/sun_biykcvrzhhhqlcep.png,FALSE,4,7,25
B/inside/sun_aaeycnkjwmvweywi.png,FALSE,22,8,25
B/inside/sun_aaguxgrqaehrwaip.png,FALSE,20,4,25
B/inside/sun_aamjvvtynbmxfheq.png,FALSE,13,5,25
B/inside/sun_aaqqcbxvhtgfloyu.png,FALSE,15,7,25
B/inside/sun_aasdufdzroddfmmw.png,FALSE,17,5,25
B/inside/sun_aaxzhukkwykojsek.png,FALSE,21,15,25
B/inside/sun_abfapslzvjbwpbfq.png,FALSE,19,4,25
B/outside_nat/sun_aaqyzvrweabdxjzo.png,FALSE,17,7,25
A/inside/sun_atkrisvsrzpbgyxu.png,FALSE,19,10,24
A/inside/sun_auzwhookgjmsmnrs.png,FALSE,18,15,24
A/inside/sun_azufbqqrxemnbupk.png,FALSE,20,17,24
A/inside/sun_bzybqfaecwsubwwo.png,FALSE,16,15,24
A/outside_man/sun_aggowhzjwlerlnxs.png,FALSE,17,12,24
A/outside_man/sun_bcwijeqsgwzynmea.png,FALSE,16,7,24
A/outside_nat/sun_atairfpicwcmswbb.png,FALSE,3,2,24
A/outside_nat/sun_bpqombtghzcbglwk.png,FALSE,8,9,24
B/inside/sun_aaeivpaottmutnqm.png,FALSE,20,8,24
B/inside/sun_aajprzhesstyaktd.png,FALSE,11,9,24
B/inside/sun_accyvmvbgmzabmow.png,FALSE,17,12,24
B/outside_man/sun_aazepdqhrojqunox.png,FALSE,18,3,24
B/outside_nat/sun_aadneptrbqhkzwag.png,FALSE,7,1,24
B/outside_nat/sun_aazwxarwchtbkpuq.png,FALSE,13,6,24
B/outside_nat/sun_abdoxebvkrdofyyh.png,FALSE,14,5,24
A/inside/sun_atlilrtpaebzoyhp.png,FALSE,18,18,23
A/inside/sun_bcxxsjdyzkdxyrzz.png,FALSE,18,18,23
A/outside_man/sun_aaipvtqzzpbvmhnb.png,FALSE,12,9,23
A/outside_man/sun_agonfthpcwebmicc.png,FALSE,12,6,23
A/outside_man/sun_amiicpnvbwxskvmh.png,FALSE,17,4,23
A/outside_man/sun_bntjemdeuiznfwzl.png,FALSE,15,12,23
A/outside_nat/sun_ancumhmsbxcihhtp.png,FALSE,6,1,23
A/outside_nat/sun_axmvhnqbyqknulko.png,FALSE,13,10,23
A/outside_nat/sun_azwqfihcsoflfihf.png,FALSE,8,12,23
A/outside_nat/sun_bkkgqovtrozgolhf.png,FALSE,6,9,23
A/outside_nat/sun_blyaxgejkrkfutoi.png,FALSE,6,5,23
B/inside/sun_abaergayifsgacxt.png,FALSE,11,6,23
B/inside/sun_abrqvtngwzzkyunp.png,FALSE,16,10,23
B/inside/sun_acerznjesvvkvymi.png,FALSE,16,8,23
B/outside_man/sun_abgbtmeglahqlsmz.png,FALSE,18,5,23
B/outside_man/sun_acevqiqryuokiacc.png,FALSE,10,3,23
B/outside_nat/sun_aabhqzsffoeycgje.png,FALSE,8,1,23
B/outside_nat/sun_aabtemlmesogqbbp.png,FALSE,15,4,23
B/outside_nat/sun_aalzlpkakxhogvru.png,FALSE,8,7,23
B/outside_nat/sun_aarnmhmjnoywelfb.png,FALSE,12,4,23
A/inside/sun_abxzvqnkfecikftq.png,FALSE,11,10,22
A/outside_man/sun_auprwsaegvmiaiwa.png,FALSE,8,5,22
B/inside/sun_aafkyzekyiexahmz.png,FALSE,11,5,22
B/inside/sun_aampvkbsihnfucrn.png,FALSE,12,7,22
B/inside/sun_abntrinbqbsqoowj.png,FALSE,15,7,22
B/inside/sun_abslarjcldcebort.png,FALSE,18,12,22
B/outside_man/sun_aajuzribjrizdshh.png,FALSE,15,8,22
B/outside_man/sun_aaxirkpajectciho.png,FALSE,17,7,22
B/outside_nat/sun_aaivblcmcmxaurgo.png,FALSE,8,5,22
B/outside_nat/sun_aamsdbqhyyzabsdt.png,FALSE,13,4,22
A/inside/sun_akapxrydwpdgvlck.png,FALSE,18,17,21
A/inside/sun_atbyxovooehnzemf.png,FALSE,15,10,21
A/inside/sun_biumuljdnxnqtlcf.png,FALSE,19,10,21
A/inside/sun_bpmmdgszoqryjmdc.png,FALSE,14,14,21
A/outside_man/sun_bfzqcqgupixpwrjl.png,FALSE,12,17,21
A/outside_nat/sun_aatvwcgvlmswovhv.png,FALSE,9,5,21
A/outside_nat/sun_ailgpfxuysdriobj.png,FALSE,19,5,21
B/inside/sun_aaiuzbtklnxpvzbv.png,FALSE,12,5,21
B/inside/sun_aakuktqwgbgavllp.png,FALSE,18,8,21
B/inside/sun_abwmjfnrmqjdltxn.png,FALSE,14,8,21
B/outside_man/sun_abiwezihcfaufuiw.png,FALSE,15,4,21
B/outside_man/sun_abjgcvejnikiqaly.png,FALSE,14,8,21
B/outside_nat/sun_aaacmydfmcozlpel.png,FALSE,7,6,21
B/outside_nat/sun_aaansjgvhbrbxvvk.png,FALSE,6,0,21
B/outside_nat/sun_acfggivnbgypvwex.png,FALSE,5,4,21
A/inside/sun_aaloiwdypreqzwnn.png,FALSE,17,17,20
A/inside/sun_baremcyvmmyztjyo.png,FALSE,15,15,20
A/inside/sun_bxipjwerkfcyzyri.png,FALSE,9,13,20
A/outside_man/sun_abmwkkexqzjttlyv.png,FALSE,15,11,20
A/outside_man/sun_acojhtjciuciuhey.png,FALSE,17,7,20
A/outside_man/sun_aqmtgbkdkyckgdyy.png,FALSE,6,4,20
A/outside_nat/sun_aipbvhhqfltkzbkb.png,FALSE,5,9,20
B/outside_man/sun_aanszwuidyonrpfe.png,FALSE,14,6,20
B/outside_man/sun_abjkwkawctptshmr.png,FALSE,11,9,20
B/outside_man/sun_abspkwkylqkddaxr.png,FALSE,15,4,20
B/outside_man/sun_accbrnzxuvtlnfte.png,FALSE,13,9,20
A/outside_man/sun_aampbyuzlgrcrygt.png,FALSE,9,9,19
A/outside_nat/sun_afjxqaxhirjblfsw.png,FALSE,12,5,19
A/outside_nat/sun_ajdttxqzdyzrxwgb.png,FALSE,13,10,19
A/outside_nat/sun_anbimwjszaokyqiw.png,FALSE,9,7,19
A/outside_nat/sun_bdtazuhapgwbydoi.png,FALSE,10,8,19
A/outside_nat/sun_bgibqzzsihgolcxc.png,FALSE,3,3,19
A/outside_nat/sun_birbwwpwtfeczupo.png,FALSE,7,2,19
A/outside_nat/sun_bvtpjuydnnzmqcwv.png,FALSE,7,9,19
B/inside/sun_aajspcoepticvplv.png,FALSE,12,6,19
B/inside/sun_aaqhalpndqfclyti.png,FALSE,11,8,19
B/outside_man/sun_aaxppqqoemukaosc.png,FALSE,13,6,19
B/outside_man/sun_absfbbobjbzkaliz.png,FALSE,13,2,19
B/outside_man/sun_abumpirxzvwuqwvp.png,FALSE,9,4,19
B/outside_man/sun_abvparldyjthmojd.png,FALSE,13,7,19
B/outside_nat/sun_aaarffxrewgissla.png,FALSE,10,4,19
B/outside_nat/sun_aagkrwwxayqfeara.png,FALSE,7,4,19
A/inside/sun_bdmgmqsmmqkthilp.png,FALSE,8,7,18
A/outside_man/sun_aofpsyendjarjvaw.png,FALSE,11,12,18
A/outside_man/sun_apmhvwjpoidrgomc.png,FALSE,6,5,18
A/outside_man/sun_astlunkqpzghjdau.png,FALSE,11,12,18
A/outside_nat/sun_atkmuptskkmzkdpk.png,FALSE,3,8,18
B/inside/sun_aahutlxpfsmsmmqi.png,FALSE,12,10,18
B/outside_man/sun_aabgqlyidjxjvsvx.png,FALSE,15,6,18
B/outside_man/sun_aacclhfjjpnqvtbz.png,FALSE,14,7,18
B/outside_man/sun_aavgffdllieopxov.png,FALSE,14,3,18
B/outside_man/sun_aawwwkzunboneeyy.png,FALSE,15,3,18
B/outside_man/sun_abnrpxwqomrizaxl.png,FALSE,12,9,18
B/outside_man/sun_acfkaobymiptdeij.png,FALSE,12,10,18
B/outside_nat/sun_aafblbfkfftldfxp.png,FALSE,11,6,18
B/outside_nat/sun_aalcoddsgakiyibg.png,FALSE,7,9,18
B/outside_nat/sun_aamepsrqelgzeleo.png,FALSE,11,7,18
B/outside_nat/sun_aavmchfjuxkpmnuv.png,FALSE,15,2,18
A/inside/sun_abxzvqnkfecikftq.png,TRUE,19,9,17
A/inside/sun_agvgmjswjlfrnaqe.png,FALSE,14,8,17
A/inside/sun_aryhzqtgzrsfoydv.png,FALSE,14,12,17
A/inside/sun_auipycrgwmfcakvq.png,FALSE,14,10,17
B/inside/sun_aakejyolaigkvisc.png,FALSE,11,7,17
B/outside_man/sun_accnapeyuiitgzxz.png,FALSE,10,5,17
B/outside_nat/sun_aacjsxcwmkbgvpmb.png,FALSE,15,4,17
B/outside_nat/sun_aafqfjpechscyidz.png,FALSE,8,5,17
A/outside_man/sun_ahsknmkvyzjvzpic.png,FALSE,12,12,16
A/outside_man/sun_apmhvwjpoidrgomc.png,TRUE,13,9,16
A/outside_man/sun_bdehddycgcokjyqy.png,FALSE,13,10,16
A/outside_nat/sun_bqrvvaeesruldqsk.png,FALSE,8,14,16
B/inside/sun_aaxoyiyedszmasjo.png,FALSE,14,9,16
B/outside_man/sun_aaalcefznkjgkkdo.png,FALSE,12,4,16
B/outside_man/sun_aaoambggxfqxoibv.png,FALSE,14,8,16
B/outside_man/sun_abtzbdcoykoqzupl.png,FALSE,10,3,16
B/outside_man/sun_acebwlwlbivavdcn.png,FALSE,14,5,16
B/outside_nat/sun_aajnqdxhijoxoqzu.png,FALSE,9,9,16
A/outside_man/sun_aadopnnweznhggye.png,FALSE,12,11,15
A/outside_man/sun_bezqwfdkvrlqbokm.png,FALSE,13,15,15
A/outside_man/sun_bqyrpmzmnorhqiuj.png,FALSE,12,7,15
A/outside_nat/sun_apxdlklioepthkgw.png,FALSE,10,5,15
A/outside_nat/sun_avyaxgkxlaeedguu.png,FALSE,9,7,15
A/outside_nat/sun_bzvypibloyofysgl.png,FALSE,5,10,15
B/outside_man/sun_aajumnzgihznlagm.png,FALSE,10,3,15
B/outside_man/sun_abccjavmhpzzenxf.png,FALSE,11,8,15
B/outside_man/sun_abuxdbyqfhrcggnx.png,FALSE,11,4,15
B/outside_nat/sun_aacbgqunsjqeatcv.png,FALSE,8,7,15
B/outside_nat/sun_aacgcodmtsyjjmbx.png,FALSE,9,7,15
B/outside_nat/sun_abadecjsoottqgbp.png,FALSE,9,3,15
A/inside/sun_abnptawlxcjefrmi.png,FALSE,11,16,14
A/outside_man/sun_acljdhtouiwvalkv.png,FALSE,11,10,14
A/outside_man/sun_azxxdozadjohyntn.png,TRUE,16,7,14
A/outside_man/sun_bgxdivhitpqnkgdr.png,FALSE,9,21,14
A/outside_nat/sun_atjvpizdlvlfluni.png,FALSE,3,7,14
A/outside_nat/sun_birbwwpwtfeczupo.png,TRUE,6,8,14
A/outside_nat/sun_bszkvmcyydyhpqdu.png,FALSE,7,12,14
B/outside_nat/sun_aacegqrsghanpufn.png,FALSE,12,8,14
B/outside_nat/sun_aagzczontectgtzw.png,FALSE,10,8,14
B/outside_nat/sun_aalltyvjhbzhkmvg.png,FALSE,7,6,14
A/outside_nat/sun_bgdsdzkbpjwsdvzg.png,FALSE,6,7,13
B/outside_nat/sun_aaansjgvhbrbxvvk.png,TRUE,10,7,13
